shop_id,nama_toko,username_shopee,followers,jumlah_produk,rating,rating_baik,rating_normal,rating_buruk,lokasi,official,verified,preferred_plus,response_rate,response_time_detik,cancellation_rate,deskripsi,estimasi_total_orders,estimasi_monthly_orders,estimasi_monthly_revenue_idr
11245823,"Mustika Ratu Official Shop","ptmustikaratu",594201,224,4.897801,709927,7455,1798,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",100,25,0,"Mustika Ratu Official Shop merupakan akun resmi dari PT Mustika Ratu Indonesia. Seluruh produk yang dijual merupakan produk halal dan 100% ORIGINAL. Kualitas produk dari Mustika Ratu telah sesuai deng",5753440,159818,12785440000
61751874,"Rosé All Day Cosmetics Official Shop","roseallday.co",576099,93,4.935577,532725,3733,896,"KOTA DEPOK","Ya","Tidak","Tidak",100,3339,0,"Hi, we are official store of Rosé All Day Cosmetics in Shopee! 
✨Semua barang ready.
 Chat dibalas Senin - Jumat pada jam 09:00 - 17:00.
 Order akan di proses Senin - Jumat.",4298832,119412,9552960000
431031985,"Azzura Official Shop","azzuraofficialshop",575443,197,4.845921,1128651,21234,3845,"KOTA BEKASI","Ya","Tidak","Tidak",100,34,0,"Azzura Official Shop adalah akun resmi Azzura di Shopee Indonesia dan merupakan bagian dari program Service By Shopee (SBS). Layanan ini disediakan oleh Shopee untuk membantu penjual Shopee dalam pemr",9229840,256384,20510720000
224957239,"Edit by Sociolla","editbysociolla",572182,2154,4.935794,551562,3327,673,"KAB. TANGERANG","Ya","Tidak","Tidak",100,47,0,"Edit by Sociolla adalah akun resmi dari Outlet by Sociolla di platform Shopee.

Menawarkan produk kecantikan dengan jaminan: 100% Authentic | 100% BPOM | Specially Curated

Waktu operasional: 09.00 -",4444496,123458,9876640000
600850936,"Acnaway Official Shop","acnaway.id",569236,39,4.880455,1063767,13224,1628,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",100,28,0,"ACNAWAY Official Shop adalah akun resmi dari ACNAWAY di platform Shopee
Operational Toko Senin - Minggu 10.00 - 23.00
Pengiriman Senin - Sabtu 
Minggu dan Tanggal Merah tidak ada pengiriman.",8628952,239693,19175440000
539721608,"MAANGE Official Store","maangeauthorisedstore",563771,181,4.872487,1113704,18942,3529,"KAB. TANGERANG","Ya","Tidak","Tidak",100,7288,0,"MAANGE Indonesia Shop adalah akun resmi MAANGE ID Shopee. Didirikan pada tahun 2008, Guangzhou MAANGE Cosmetics Co, Ltd mengkhususkan diri dalam pembuatan kuas makeup dan alat rias spons dll.

1. Jam",9089400,252483,20198640000
127651884,"BLP Official Store","blpbeauty",555483,130,4.940188,391462,2550,366,"KAB. BOGOR","Ya","Tidak","Tidak",100,3723,0,"● Akun resmi dari BLP Beauty di platform Shopee

● Ketentuan Jadwal Pengiriman:
i) Pengiriman Reguler dilakukan setiap hari Senin-Jumat. Proses pengemasan 1-2 hari kerja
ii) Pengiriman Instant & Same",3155024,87640,7011200000
313431312,"OHSOME Beauty Official Store","ohsomebeauty",552497,500,4.905977,533213,5509,1011,"KAB. TANGERANG","Ya","Tidak","Tidak",100,222,0,"",4317864,119941,9595280000
1425254995,"TimePhoria Official Store","timephoria_id",537119,50,4.910354,606096,7197,1430,"KAB. TANGERANG","Ya","Tidak","Tidak",100,28,0,"TimePhoria is a modern and avant-garde beauty brand. The brand takes high-quality products as its core, adding the most popular fashion elements and a sense of the future.
Operational Hours Senin-Ming",4917784,136605,10928400000
181776360,"ecentio Store Surabaya","ecentio.store.surabaya",534442,14,4.806246,483876,14118,3440,"KAB. BEKASI","Ya","Tidak","Tidak",100,3,0,"Selamat datang di Toko ecentio Authorized Store Surabaya，ecentio didirikan oleh ecentio Official Shop di shopee.  

 Kami adalah toko resmi ecentio platform Surabaya. 

Follow toko kami dan dapatkan d",4011472,111430,8914400000
78713320,"ROHTO Official Shop","rohtoofficialshop",525814,428,4.908455,770531,7000,1438,"KAB. TANGERANG","Ya","Tidak","Tidak",100,5903,0,"ROHTO OFFICIAL SHOP adalah akun resmi dari Rohto di platform Shopee.
Rohto Laboratories Indonesia merupakan perusahaan yang berpusat di Osaka Jepang yang menciptakan produk kesehatan & perawatan denga",6231752,173104,13848320000
344023672,"Truetoskin Official Shop","truetoskin",503769,51,4.894853,385950,4530,850,"KOTA TANGERANG","Ya","Tidak","Tidak",97,6552,0,"True to Skin Official Shop adalah akun resmi True to Skin di platform Shopee 

True to Skin is a clean and minimalist local skincare brand. 
Our concept is based on single active ingredient boosted wi",3130640,86962,6956960000
382220233,"SELLERTERMURAHTERPECAYA","sellertermurahterpecaya",503535,2536,4.741193,1523684,63601,20728,"KAB. TANGERANG","Tidak","Tidak","Tidak",100,7122,0,"SELLER TERMURAH TERPECAYA

Kami menjual berbagai macam barang dan dijamin dengan harga termurah.

 Pengiriman tercepat kurang dari 24 jam
 Resi di input 1 x 24 jam dari pengiriman
 Chat di b",12864104,357336,28586880000
33566449,"Studio Tropik Official Shop","studio.tropik",499512,39,4.937999,348252,1760,213,"KAB. BOGOR","Ya","Tidak","Tidak",100,7880,0,"Studio Tropik Official Shop adalah akun resmi Studio Tropik di Shopee.

Proses Pengiriman di hari Senin-Jum'at (tidak termasuk tanggal merah) Konfirmasi sebelum Pkl 12.00 WIB dikirim di hari yg sama.",2801800,77828,6226240000
114789399,"Avecca Official Shop","aveccaofficialshop",494472,4369,4.870306,583537,8821,1724,"KOTA TANGERANG","Ya","Tidak","Tidak",53,4048,3,"Avecca Official Shop adalah akun resmi dari Avecca di platform Shopee.
- Setiap Komplain harus menyertakan VIDEO unboxing, tanpa Video Unboxing komplain tidak akan diterima !!!
- Produk Dijamin 100% O",4752656,132018,10561440000
6936785,"Dettol, Veet, Vanish & Harpic Store","dettolvanishharpic",489710,1145,4.907362,1169298,13927,4558,"KOTA BEKASI","Ya","Tidak","Tidak",100,13,0,"dettolvanishharpic adalah akun resmi dari Dettol dan merupakan bagian dari program Service By Shopee (SBS). Layanan ini dikelola oleh Shopee untuk membantu penjual Shopee dalam pemrosesan pesanan sert",9502264,263952,21116160000
44277832,"Remington Indonesia Official Shop","remingtonofficial",485811,57,4.899346,192258,2279,761,"KOTA BEKASI","Ya","Tidak","Tidak",100,5942,0,"Remington Indonesia Official Shop adalah akun resmi dari REMINGTON INDONESIA di platform Shopee

Waktu Operasional Toko
Senin - Jumat, 8.30 Sampai 17.00
Sabtu, 8.30 - 13.00
MINGGU & TANGGAL MERAH TIDA",1562384,43400,3472000000
3948077,"mnccosmetic","mnccosmetic",485207,3801,4.778737,4501202,133084,50750,"KOTA MEDAN","Tidak","Ya","Ya",89,6309,0,"Toko mnccosmetic hanya official berjualan di shopee.
Tidak tersedia di platform lain. 
Hati2 dengan toko yg mengatasnamakan toko kami di platform lain.

Pengiriman di usahakan 1x24 jam. 
JIKA ADA PERT",37480288,1041119,83289520000
260166994,"CARESO Official Shop","careso",480037,234,4.90033,507263,5888,1393,"KOTA JAKARTA PUSAT","Ya","Tidak","Tidak",83,8831,0,"CARESO Official Shop adalah akun resmi CARESO di platform Shopee. 

Semua produk kami di jamin Halal, Cruelty Free dan di registerasi di bawah BPOM/KEMENKES.

IG : @careso.official

Operational Hours",4116352,114343,9147440000
168925122,"Brasov Official Shop","brasovofficial",478080,258,4.846275,732968,14500,3013,"KOTA JAKARTA BARAT","Ya","Tidak","Tidak",99,95,0,"BRASOV Official Shop adalah akun resmi dari BRASOV di platform Shopee.
Jam Operasional Toko:
Setiap Hari : 08.00 - 17.00",6003848,166774,13341920000
152265541,"Marina Official Shop","marina_official_store",476458,150,4.90228,682549,7069,2104,"KOTA JAKARTA TIMUR","Ya","Tidak","Tidak",93,2588,0,"Marina Official Shop merupakan toko resmi dari produk Marina. Marina adalah sahabat perempuan Indonesia dalam berbagai kategori produk dengan formulasi yang teruji klinis dan mengandung bahan natural.",5533776,153716,12297280000
83981123,"agapecollection","agapecollection",453724,1106,4.853042,2381419,43140,18716,"KOTA BANDUNG","Tidak","Ya","Tidak",84,4682,1,"PRODUK KAMI ADALAH 100 % ASLI ORIGINAL. KAMI ADALAH DISTRIBUTOR ATK BANDUNG , YANG KAMI JUAL DI MARKETPLACE HANYA YANG DAPAT KAMI JUAL ECERAN. UNTUK KEBUTUHAN KARTON / GROSIR / RESELLER, DAPAT MENGHUB",19546200,542950,43436000000
226760579,"Oh My Skin Official Shop","ohmyskin.official",432256,44,4.868928,236918,3576,404,"KAB. PATI","Ya","Tidak","Tidak",99,5886,0,"Oh My Skin Official Shop merupakan akun resmi dari Oh My Skin! di platform Shopee.

Waktu operasional: Senin-Sabtu Pkl 08.00-16.00 WIB

Stock produk yang tertera ready stock yaa. Happy Shopping, Besti",1927184,53533,4282640000
